# iterazione   metodo_sqrt              metodo_rapporto
  183      250.866345209901539      250.866345209901482
  184      250.866345209901539      250.866345209901482
  185      250.866345209901539      250.866345209901482
  186      250.866345209901539      250.866345209901482
  187      250.866345209901539      250.866345209901482
  188      250.866345209901539      250.866345209901482
  189      250.866345209901539      250.866345209901482
  190      250.866345209901539      250.866345209901482
  191      250.866345209901539      250.866345209901482
  192      250.866345209901539      250.866345209901482
  193      250.866345209901539      250.866345209901482
  194      250.866345209901539      250.866345209901482
  195      250.866345209901539      250.866345209901482
  196      250.866345209901539      250.866345209901482
  197      250.866345209901539      250.866345209901482
  198      250.866345209901539      250.866345209901482
  199      250.866345209901539      250.866345209901482
  200      250.866345209901539      250.866345209901482
  201      250.866345209901539      250.866345209901482
  202      250.866345209901539      250.866345209901482
  203      250.866345209901539      250.866345209901482
  204      250.866345209901539      250.866345209901482
  205      250.866345209901539      250.866345209901482
  206      250.866345209901539      250.866345209901482
  207      250.866345209901539      250.866345209901482
  208      250.866345209901539      250.866345209901482
  209      250.866345209901539      250.866345209901482
  210      250.866345209901539      250.866345209901482
  211      250.866345209901539      250.866345209901482
  212      250.866345209901539      250.866345209901482
  213      250.866345209901539      250.866345209901482
  214      250.866345209901539      250.866345209901482
  215      250.866345209901539      250.866345209901482
  216      250.866345209901539      250.866345209901482
  217      250.866345209901539      250.866345209901482
  218      250.866345209901539      250.866345209901482
  219      250.866345209901539      250.866345209901482
  220      250.866345209901539      250.866345209901482
  221      250.866345209901539      250.866345209901482
  222      250.866345209901539      250.866345209901482
  223      250.866345209901539      250.866345209901482
  224      250.866345209901539      250.866345209901482
  225      250.866345209901539      250.866345209901482
  226      250.866345209901539      250.866345209901482
  227      250.866345209901539      250.866345209901482
  228      250.866345209901539      250.866345209901482
  229      250.866345209901539      250.866345209901482
  230      250.866345209901539      250.866345209901482
  231      250.866345209901539      250.866345209901482
  232      250.866345209901539      250.866345209901482
  233      250.866345209901539      250.866345209901482
  234      250.866345209901539      250.866345209901482
  235      250.866345209901539      250.866345209901482
  236      250.866345209901539      250.866345209901482
  237      250.866345209901539      250.866345209901482
  238      250.866345209901539      250.866345209901482
  239      250.866345209901539      250.866345209901482
  240      250.866345209901539      250.866345209901482
  241      250.866345209901539      250.866345209901482
  242      250.866345209901539      250.866345209901482
  243      250.866345209901539      250.866345209901482
  244      250.866345209901539      250.866345209901482
  245      250.866345209901539      250.866345209901482
  246      250.866345209901539      250.866345209901482
  247      250.866345209901539      250.866345209901482
